"Owning Library","Last Edit Date/Time","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-04-02","AUDIO CD FIC COB","Mermaid moon","Coble, Colleen.","31006500066402","audiobook","19.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC DEL","Heart of the night","Delinsky, Barbara","31006000587774","audiobook","24.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC FRA","Cold Mountain","Frazier, Charles 1950-","31006001271477","audiobook","44.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC FRE","Above the law","Freedman, J. F.","31006001541432","audiobook","30.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC GRE","The last trail","Grey, Zane 1872-1939","30301000167516","audiobook","15.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC GRI","The fighting agents","Griffin, W. E. B.","31006000121137","audiobook","24.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC LAM","Case closed - no prisoners","L'Amour, Louis 1908-1988","30301000307856","audiobook","10.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC LAM","Four-card draw","L'Amour, Louis 1908-1988","31006001125533","audiobook","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC LAM","Louis L'Amour [six epic adventures]","L'Amour, Louis 1908-1988","31006001125335","audiobook","19.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC LAM","McNelly knows a ranger","L'Amour, Louis 1908-1988","30301000307849","audiobook","10.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC LAM","Survival from my Yondering days","L'Amour, Louis 1908-1988","31006001125525","audiobook","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MIL","Burn factor","Mills, Kyle 1966-","31006002351609","audiobook","39.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MIL","For love","Miller, Sue 1943-","31006000636985","audiobook","16.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MIL","Knights","Miller, Linda Lael","31006002124154","audiobook","17.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MIL","Springwater wedding","Miller, Linda Lael","31006002416295","audiobook","25.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MIL","While I was gone","Miller, Sue 1943-","31006001072370","audiobook","25.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MOR","Double image [a thriller]","Morrell, David 1943-","31006001272319","audiobook","25.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MOR","Sula","Morrison, Toni.","30301000306163","audiobook","26.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MUR","A pound of prevention","Murphy, Warren","31006001072644","audiobook","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MUR","Insurrection red","Murray, Mike","31006001271931","audiobook","9.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC MUR","White water","Murphy, Warren","31006001072313","audiobook","7.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO FIC ROB","Dance upon the air","Roberts, Nora","31006000038588","audiobook","20.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD CHR","Christmas cocktails",,"31006002381010","music","11.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD DUE","M·s fuertes que nunca","Dueto Voces del Rancho","31006002380350","music","12.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD HOO","The very best of John Lee Hooker","Hooker, John Lee.","31006002381127","music","11.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD JAM","Synkronized","Jamiroquai (Musical group)","31006002380517","music","11.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD NIN","98∞ and rising","98∞ (Musical group)","31006001242031","music","15.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD SON","Salsa hits","Son by Four (Musical group)","31006001243153","music","15.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD WIL","Timeless","Williams, Hank 1923-1953","31006001242239","music","15.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD WIN","Windows Windham Hill 25 years of piano",,"31006002313203","music","11.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD WRI","Single white female","Wright, Chely 1970-","31006002380731","music","11.98","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","AUDIO MUSIC CD WUT","The W","Wu-Tang Clan (Musical group)","31006001243385","music","15.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","BIO LANIER","Sidney Lanier : poet of the Marshes","De Bellis, Jack.","31006000702779","book","11.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","BIO MCENTIRE","Comfort from a country quilt","McEntire, Reba","30301000251146","book","19.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","BIO ZANUCK","Zanuck : the rise and fall of Hollywood's last tycoon","Mosley, Leonard 1913-1992","30301000182416","book","19.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","CD ROM 796.48 O","An Olympic Journey",,"30301000199071","cd","35.00","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","EASY ADO","Black is brown is tan.","Adoff, Arnold","30301000192993","book","13.89","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","EASY ALB","The nightingale","Albee, Sarah","31006002457562","book","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","EASY BRO","Once a mouse- - : a fable cut in wood",,"30301000100335","book","13.95","PINES-FICTION"
"TRRLS-BRANT","2020-04-02","EASY BRO","Wait till the moon is full","Brown, Margaret Wise 1910-1952","30301000100392","book","5.00","PINES-FICTION"
